eid,9-s2.0-10039717300,affiliation,Beihang University,affiliationCity,Beijing,affiliationCountry,China 
eid,9-s2.0-10042131300,affiliation,Yanshan University,affiliationCity,Qinhuangdao,affiliationCountry,China 
eid,9-s2.0-10042758900,affiliation,Michigan Technological University,affiliationCity,Houghton,affiliationCountry,United States 
eid,9-s2.0-10139015200,affiliation,Northwest Normal University,affiliationCity,Lanzhou,affiliationCountry,China 
eid,9-s2.0-10239347500,affiliation,"City, University of London",affiliationCity,London,affiliationCountry,United Kingdom 
eid,9-s2.0-10339457800,affiliation,Worcester Polytechnic Institute,affiliationCity,Worcester,affiliationCountry,United States 
eid,9-s2.0-10639005200,affiliation,Johns Hopkins University,affiliationCity,Baltimore,affiliationCountry,United States 
eid,9-s2.0-10639204400,affiliation,Trinity University,affiliationCity,San Antonio,affiliationCountry,United States 
eid,9-s2.0-10640119500,affiliation,Universite Grenoble Alpes,affiliationCity,Saint Martin d'Heres,affiliationCountry,France 
eid,9-s2.0-10739706700,affiliation,Northwestern University,affiliationCity,Evanston,affiliationCountry,United States 
eid,9-s2.0-11141559500,affiliation,Delft University of Technology,affiliationCity,Delft,affiliationCountry,Netherlands 
eid,9-s2.0-11240528300,affiliation,International Centre for Diarhoeal Disease Resaerch,affiliationCity,Dhaka,affiliationCountry,Bangladesh 
eid,9-s2.0-11339042000,affiliation,"Southeast University, Nanjing",affiliationCity,Nanjing,affiliationCountry,China 
eid,9-s2.0-11439242700,affiliation,Worcester Polytechnic Institute,affiliationCity,Worcester,affiliationCountry,United States 
eid,9-s2.0-11439385300,affiliation,NASA Langley Research Center,affiliationCity,Hampton,affiliationCountry,United States 
eid,9-s2.0-11439579000,affiliation,The Ohio State University,affiliationCity,Columbus,affiliationCountry,United States 
eid,9-s2.0-11439948600,affiliation,College of Science,affiliationCity,West Lafayette,affiliationCountry,United States 
eid,9-s2.0-11440423900,affiliation,TOBB University of Economics and Technology,affiliationCity,Ankara,affiliationCountry,Turkey 
eid,9-s2.0-11539776800,affiliation,University of Leeds,affiliationCity,Leeds,affiliationCountry,United Kingdom 
eid,9-s2.0-12143356000,affiliation,CEA LETI ,affiliationCity,Grenoble,affiliationCountry,France 
eid,9-s2.0-12239548700,affiliation,National Center for Immunization and Respiratory Diseases,affiliationCity, null,affiliationCountry,United States 
eid,9-s2.0-12241436100,affiliation,Stanford University,affiliationCity,Palo Alto,affiliationCountry,United States 
eid,9-s2.0-12241636500,affiliation,Tsinghua University,affiliationCity,Beijing,affiliationCountry,China 
eid,9-s2.0-12243790700,affiliation,Carnegie Mellon University,affiliationCity,Pittsburgh,affiliationCountry,United States 
eid,9-s2.0-12345189200,affiliation,Bond University,affiliationCity,Robina,affiliationCountry,Australia 
eid,9-s2.0-12446411300,affiliation,University of Alabama,affiliationCity,Northport,affiliationCountry,United States 
eid,9-s2.0-12753471100,affiliation,"George Mason University, Fairfax Campus",affiliationCity,Fairfax,affiliationCountry,United States 
eid,9-s2.0-12754063500,affiliation,Fritz Haber Institute of the Max Planck Society,affiliationCity,Berlin,affiliationCountry,Germany 
eid,9-s2.0-12767053300,affiliation,Naval Research Laboratory,affiliationCity,"Washington, D.C.",affiliationCountry,United States 
eid,9-s2.0-12767183400,affiliation,"Sandia National Laboratories, New Mexico",affiliationCity,Albuquerque,affiliationCountry,United States 
eid,9-s2.0-12767397700,affiliation,Universidad Católica de Murcia,affiliationCity,Murcia,affiliationCountry,Spain 
eid,9-s2.0-12767675200,affiliation,National Institute of Advanced Industrial Science and Technology,affiliationCity,Tokyo,affiliationCountry,Japan 
eid,9-s2.0-12771696900,affiliation,Consiglio Nazionale delle Ricerche,affiliationCity,Rome,affiliationCountry,Italy 
eid,9-s2.0-12774450700,affiliation,The University of New Mexico,affiliationCity,Albuquerque,affiliationCountry,United States 
eid,9-s2.0-12774929600,affiliation,Korea Research Institute of Bioscience and Biotechnology,affiliationCity,Yusong,affiliationCountry,South Korea 
eid,9-s2.0-12783479800,affiliation,Honeybee Robotics Spacecraft Mechanisms Corporation,affiliationCity,New York,affiliationCountry,United States 
eid,9-s2.0-12784022600,affiliation,"ABB Group, USA",affiliationCity,Cary,affiliationCountry,United States 
eid,9-s2.0-12791841700,affiliation,Peking University,affiliationCity,Beijing,affiliationCountry,China 
eid,9-s2.0-12801046200,affiliation,University of Wisconsin-Madison,affiliationCity,Madison,affiliationCountry,United States 
eid,9-s2.0-12801692300,affiliation,University of Toronto,affiliationCity,Toronto,affiliationCountry,Canada 
eid,9-s2.0-12802542100,affiliation,University of Minnesota,affiliationCity,Minneapolis,affiliationCountry,United States 
eid,9-s2.0-12803212700,affiliation,University of Texas MD Anderson Cancer Center,affiliationCity,Houston,affiliationCountry,United States 
eid,9-s2.0-12804132900,affiliation,UC Merced,affiliationCity,Merced,affiliationCountry,United States 
eid,9-s2.0-12902591700,affiliation,Delft University of Technology,affiliationCity,Delft,affiliationCountry,Netherlands 
eid,9-s2.0-13002838000,affiliation,"University of Washington, Seattle",affiliationCity,Seattle,affiliationCountry,United States 
eid,9-s2.0-13006940800,affiliation,"Northeastern University, China",affiliationCity,Shenyang,affiliationCountry,China 
eid,9-s2.0-13008005500,affiliation,Hand and Upper Limb Centre,affiliationCity,London,affiliationCountry,Canada 
eid,9-s2.0-13008757100,affiliation,Argonne National Laboratory,affiliationCity,Lemont,affiliationCountry,United States 
eid,9-s2.0-13102733600,affiliation,Huazhong Agricultural University,affiliationCity,Wuhan,affiliationCountry,China 
