eid,9-s2.0-10339459400,affiliation,University of Illinois at Chicago,affiliationCity,Chicago,affiliationCountry,United States 
eid,9-s2.0-10541201900,affiliation,"California State University, San Bernardino",affiliationCity,San Bernardino,affiliationCountry,United States 
eid,9-s2.0-14032166800,affiliation,US Naval Academy,affiliationCity,Annapolis,affiliationCountry,United States 
eid,9-s2.0-14525211600,affiliation,Georgia State University,affiliationCity,Atlanta,affiliationCountry,United States 
eid,9-s2.0-14526054700,affiliation,Stony Brook University,affiliationCity,Stony Brook,affiliationCountry,United States 
eid,9-s2.0-15620494200,affiliation,University of Mary,affiliationCity,Bismarck,affiliationCountry,United States 
eid,9-s2.0-16027612400,affiliation,Edinboro University of Pennsylvania,affiliationCity,Edinboro,affiliationCountry,United States 
eid,9-s2.0-16211587900,affiliation,Uganda Virus Research Institute,affiliationCity,Entebbe,affiliationCountry,Uganda 
eid,9-s2.0-16246493600,affiliation,University of Montana,affiliationCity,Missoula,affiliationCountry,United States 
eid,9-s2.0-16418808100,affiliation,Georgetown University,affiliationCity,"Washington, D.C.",affiliationCountry,United States 
eid,9-s2.0-17434252500,affiliation,Universitat Salzburg,affiliationCity,Salzburg,affiliationCountry,Austria 
eid,9-s2.0-22035120900,affiliation,University of Toronto,affiliationCity,Toronto,affiliationCountry,Canada 
eid,9-s2.0-23103306800,affiliation,Ankara Üniversitesi,affiliationCity,Ankara,affiliationCountry,Turkey 
eid,9-s2.0-24399522700,affiliation,Medical Research Council,affiliationCity,London,affiliationCountry,United Kingdom 
eid,9-s2.0-24399729800,affiliation,Uganda Virus Research Institute,affiliationCity,Entebbe,affiliationCountry,Uganda 
eid,9-s2.0-24477239200,affiliation,Field Museum of Natural History,affiliationCity,Chicago,affiliationCountry,United States 
eid,9-s2.0-24741234900,affiliation,Purdue Polytechnic Institute,affiliationCity,West Lafayette,affiliationCountry,United States 
eid,9-s2.0-24790462700,affiliation,The University of North Carolina at Chapel Hill,affiliationCity,Chapel Hill,affiliationCountry,United States 
eid,9-s2.0-25960974000,affiliation,AIDS,affiliationCity, null,affiliationCountry,Uganda 
eid,9-s2.0-26035528500,affiliation,Duke University,affiliationCity,Durham,affiliationCountry,United States 
eid,9-s2.0-26036595400,affiliation,Universitat Salzburg,affiliationCity,Salzburg,affiliationCountry,Austria 
eid,9-s2.0-26038671200,affiliation,University of Cape Town,affiliationCity,Cape Town,affiliationCountry,South Africa 
eid,9-s2.0-35099048300,affiliation,International Labour Organization,affiliationCity,Geneva,affiliationCountry,Switzerland 
eid,9-s2.0-35198670500,affiliation,London School of Hygiene &amp; Tropical Medicine,affiliationCity,London,affiliationCountry,United Kingdom 
eid,9-s2.0-35336120000,affiliation,Santa Fe Institute,affiliationCity,Santa Fe,affiliationCountry,United States 
eid,9-s2.0-35362279200,affiliation,The University of Chicago,affiliationCity,Chicago,affiliationCountry,United States 
eid,9-s2.0-35369242100,affiliation,"Saint Petersburg State University, Graduate School of Management",affiliationCity,Saint Petersburg (ex Leningrad),affiliationCountry,Russian Federation 
