eid,9-s2.0-10038928100,affiliation,South Dakota School of Mines &amp; Technology,affiliationCity,Rapid City,affiliationCountry,United States 
eid,9-s2.0-10039124600,affiliation,University of Florida,affiliationCity,Gainesville,affiliationCountry,United States 
eid,9-s2.0-10041923700,affiliation,University of Waterloo,affiliationCity,Waterloo,affiliationCountry,Canada 
eid,9-s2.0-10043205600,affiliation,University of Pennsylvania Perelman School of Medicine,affiliationCity,Philadelphia,affiliationCountry,United States 
eid,9-s2.0-10043216700,affiliation,"Luddy School of Informatics, Computing, and Engineering",affiliationCity,Bloomington,affiliationCountry,United States 
eid,9-s2.0-10143278800,affiliation,Colorado State University,affiliationCity,Fort Collins,affiliationCountry,United States 
eid,9-s2.0-10240465000,affiliation,American Museum of Natural History,affiliationCity,New York,affiliationCountry,United States 
eid,9-s2.0-10243379500,affiliation,Harvard Medical School,affiliationCity,Boston,affiliationCountry,United States 
eid,9-s2.0-10244805800,affiliation,California Institute of Technology,affiliationCity,Pasadena,affiliationCountry,United States 
eid,9-s2.0-10439724400,affiliation,Cornell University Weill Institute for Cell and Molecular Biology,affiliationCity,Ithaca,affiliationCountry,United States 
eid,9-s2.0-10540155500,affiliation,Wayne State University,affiliationCity,Detroit,affiliationCountry,United States 
eid,9-s2.0-10639199500,affiliation,Brunel University London,affiliationCity,Uxbridge,affiliationCountry,United Kingdom 
eid,9-s2.0-10641868200,affiliation,North Slope Borough,affiliationCity,Barrow,affiliationCountry,United States 
eid,9-s2.0-10739902200,affiliation,The University of Texas at Austin,affiliationCity,Austin,affiliationCountry,United States 
eid,9-s2.0-10839559500,affiliation,Ohio State University at Newark,affiliationCity,Newark,affiliationCountry,United States 
eid,9-s2.0-11141536600,affiliation,"University of California, San Francisco",affiliationCity,San Francisco,affiliationCountry,United States 
eid,9-s2.0-11240212800,affiliation,Laboratoire Joseph-Louis Lagrange,affiliationCity,Nice,affiliationCountry,France 
eid,9-s2.0-11241128600,affiliation,"Istituto Nazionale di Fisica Nucleare, Sezione di Bari",affiliationCity,Bari,affiliationCountry,Italy 
eid,9-s2.0-11241467500,affiliation,Maseno University,affiliationCity,Maseno,affiliationCountry,Kenya 
eid,9-s2.0-11241597800,affiliation,Albany College of Pharmacy,affiliationCity,Albany,affiliationCountry,United States 
eid,9-s2.0-11439948600,affiliation,College of Science,affiliationCity,West Lafayette,affiliationCountry,United States 
eid,9-s2.0-11539268600,affiliation,University of Houston,affiliationCity,Houston,affiliationCountry,United States 
eid,9-s2.0-11639870300,affiliation,Kansas State University,affiliationCity,Manhattan,affiliationCountry,United States 
eid,9-s2.0-11640737300,affiliation,The Ohio State University,affiliationCity,Columbus,affiliationCountry,United States 
eid,9-s2.0-11641232000,affiliation,Hôpital du Sacré-Coeur de Montréal,affiliationCity,Montreal,affiliationCountry,Canada 
eid,9-s2.0-11840381500,affiliation,"University of South Florida, Tampa",affiliationCity,Tampa,affiliationCountry,United States 
eid,9-s2.0-11940384600,affiliation,Respiratory Syncytial Virus Network (ReSViNET),affiliationCity, null,affiliationCountry,Italy 
eid,9-s2.0-11940936200,affiliation,CNRS Centre National de la Recherche Scientifique,affiliationCity,Paris,affiliationCountry,France 
eid,9-s2.0-12041408400,affiliation,Centre Hospitalier de L'Universite de Montreal,affiliationCity, null,affiliationCountry,Canada 
eid,9-s2.0-12143057200,affiliation,Wayne State University,affiliationCity,Detroit,affiliationCountry,United States 
eid,9-s2.0-12345631500,affiliation,University of Virginia,affiliationCity,Charlottesville,affiliationCountry,United States 
eid,9-s2.0-12645190700,affiliation,Medical College of Wisconsin,affiliationCity,Milwaukee,affiliationCountry,United States 
eid,9-s2.0-12645316500,affiliation,Harvard University,affiliationCity,Cambridge,affiliationCountry,United States 
eid,9-s2.0-12754105300,affiliation,Methodist Hospital Houston,affiliationCity,Houston,affiliationCountry,United States 
eid,9-s2.0-12767466400,affiliation,Oregon Health &amp; Science University,affiliationCity,Portland,affiliationCountry,United States 
eid,9-s2.0-12767798900,affiliation,"Academia Sinica, Institute Of Physics",affiliationCity,Taipei,affiliationCountry,Taiwan 
eid,9-s2.0-12770860700,affiliation,Medical University of South Carolina,affiliationCity,Charleston,affiliationCountry,United States 
eid,9-s2.0-12774450700,affiliation,The University of New Mexico,affiliationCity,Albuquerque,affiliationCountry,United States 
eid,9-s2.0-12775052300,affiliation,Alma Mater Studiorum Università di Bologna,affiliationCity,Bologna,affiliationCountry,Italy 
eid,9-s2.0-12775370900,affiliation,St. Jude Children's Research Hospital,affiliationCity,"Memphis TN,",affiliationCountry,United States 
eid,9-s2.0-12776054300,affiliation,Pennsylvania State University,affiliationCity,University Park,affiliationCountry,United States 
eid,9-s2.0-12776358400,affiliation,Georgetown Lombardi Comprehensive Cancer Center,affiliationCity,"Washington, D.C.",affiliationCountry,United States 
eid,9-s2.0-12776393300,affiliation,University of Kansas Health System,affiliationCity,Kansas City,affiliationCountry,United States 
eid,9-s2.0-12777671100,affiliation,Universiteit Antwerpen,affiliationCity,Antwerpen,affiliationCountry,Belgium 
eid,9-s2.0-12778624500,affiliation,Korea University,affiliationCity,Seoul,affiliationCountry,South Korea 
eid,9-s2.0-12779628700,affiliation,New York Presbyterian Hospital,affiliationCity,New York,affiliationCountry,United States 
eid,9-s2.0-12780413800,affiliation,"University of California, San Francisco",affiliationCity,San Francisco,affiliationCountry,United States 
eid,9-s2.0-12782513900,affiliation,The University of British Columbia,affiliationCity,Vancouver,affiliationCountry,Canada 
