9-s2.0-14008358600,Fudan University,Shanghai,China 
9-s2.0-14012075400,Lawrence Livermore National Laboratory,Livermore,United States 
9-s2.0-14015425000,Universitatea Babes-Bolyai din Cluj-Napoca,Cluj Napoca,Romania 
9-s2.0-14015789100,Istanbul Teknik Üniversitesi,Istanbul,Turkey 
9-s2.0-14015809700,University of Notre Dame,Notre Dame,United States 
9-s2.0-14015894300,University of Notre Dame,Notre Dame,United States 
9-s2.0-14018405900,Institut de Physique du Globe de Paris,Paris,France 
9-s2.0-14020672400,Catalonia Institute for Energy Research IREC,Barcelona,Spain 
9-s2.0-14024759600,Medical School of Nanjing University,Nanjing,China 
9-s2.0-14029569800,Queensland University of Technology QUT,Brisbane,Australia 
9-s2.0-14029790000,United Arab Emirates University,Al Ain,United Arab Emirates 
9-s2.0-14029922900,Helsingin Yliopisto,Helsinki,Finland 
9-s2.0-14033942200,The University of North Carolina at Charlotte,Charlotte,United States 
9-s2.0-14034245000,University of Notre Dame,Notre Dame,United States 
9-s2.0-14035959400,University of Central Florida,Orlando,United States 
9-s2.0-14039399200,University of Notre Dame,Notre Dame,United States 
9-s2.0-14041400400,National Engineering Laboratory for High Speed Railway Construction,Changsha,China 
9-s2.0-14042509000,Lawrence Livermore National Laboratory,Livermore,United States 
9-s2.0-14043406600,"SAFRAN, France",Paris,France 
9-s2.0-14043619200,National Cheng Kung University,Tainan,Taiwan 
9-s2.0-14045324900,University of Notre Dame,Notre Dame,United States 
9-s2.0-14053136800,Mälardalens högskola,Vasteras,Sweden 
9-s2.0-14053463100,University of Colorado Boulder,Boulder,United States 
9-s2.0-14057699000,Sungkyunkwan University,Jongno-gu,South Korea 
9-s2.0-14058161700,The Ohio State University,Columbus,United States 
9-s2.0-14065346100,Tsinghua University,Beijing,China 
9-s2.0-14066860000,University of Notre Dame,Notre Dame,United States 
9-s2.0-14068241900,The Fourth People's Hospital of Zhenjiang,Zhenjiang,China 
9-s2.0-14121138500,ARL,Adelphi,United States 
9-s2.0-14520526700,School of Materials Science and Engineering,Singapore City,Singapore 
9-s2.0-14523673200,Institute of Geographical Sciences and Natural Resources Research Chinese Academy of Sciences,Beijing,China 
9-s2.0-14622522600,STScI,Baltimore,United States 
